Team,Turnovers,Wins,Avg Offensive Plays
crd,20,8,61
atl,24,8,64
rav,11,12,62
buf,8,13,60
car,22,5,58
chi,16,5,63
cin,22,9,64
cle,34,3,66
dal,28,7,65
den,19,10,62
det,15,15,66
gnb,19,11,60
htx,19,10,62
clt,29,8,61
jax,24,4,58
kan,14,15,64
rai,29,4,63
sdg,9,11,60
ram,14,10,61
mia,21,8,64
min,21,14,62
nwe,23,4,60
nor,19,5,61
nyg,23,3,63
nyj,19,5,59
phi,15,14,66
pit,17,10,64
sfo,27,6,60
sea,24,10,61
tam,23,10,64
oti,34,3,61
was,16,12,65
